filepath,class,source,split
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00018.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00005.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00013.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00006.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00012.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00011.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00016.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00017.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00013.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00012.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00006.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00013.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00014.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00013.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00019.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00007.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00018.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00019.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00020.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00021.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00022.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00014.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00007.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00015.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00023.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00014.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00008.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00007.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00009.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00015.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00016.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00020.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00015.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00016.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00003.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00024.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00017.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00017.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00018.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00025.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00010.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00018.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00008.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00009.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00011.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00019.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00026.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00014.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00012.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00020.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00010.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00011.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00021.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00012.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00022.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00015.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00016.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00013.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00016.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00017.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00023.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00013.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00018.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00008.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00014.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00014.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00017.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00018.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00024.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00025.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00021.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00022.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00019.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00020.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00027.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00026.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00019.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00015.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00016.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00028.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00019.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00023.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00020.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00027.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00021.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00017.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00009.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00010.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00024.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00025.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00020.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00026.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00029.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00027.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00030.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00021.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00028.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00022.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00031.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00021.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00015.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00029.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00022.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00018.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00016.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00030.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00031.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00032.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00017.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00023.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00032.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_CCMT_00022.jpg,Corn___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00033.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00033.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00028.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00019.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00004.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00005.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00023.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00018.jpg,Corn___Streak_Virus,CCMT,train
